DEPARTMENT,ROLE,TOPIC,QUESTION,ANSWER OPTION,A,B,C,D
IT,DEVELOPER,PYTHON,1. Who developed Python Programming Language?,C,Wick van Rossum,Rasmus Lerdorf,Guido van Rossum,Niene Stom
IT,DEVELOPER,PYTHON,2. Which type of Programming does Python support?,D, object-oriented programming,structured programming,functional programming,all of the mentioned
IT,DEVELOPER,PYTHON,3. Is Python case sensitive when dealing with identifiers?,B,no,yes,machine dependent,none of the mentioned
IT,DEVELOPER,PYTHON,4. Which of the following is the correct extension of the Python file?,C,.python,.pl,.py,.p
IT,DEVELOPER,PYTHON,5.Is Python code compiled or interpreted?,A ,Python code is both compiled and interpreted, Python code is neither compiled nor interpreted,Python code is only compiled,Python code is only interpreted
IT,DEVELOPER,PYTHON,6. All keywords in Python are in _________,D,Capitalized, lower case,UPPER CASE,None of the mentioned
IT,DEVELOPER,PYTHON,7. What will be the value of the following Python expression?,A,7,2,4,1
IT,DEVELOPER,PYTHON,8. Which of the following is used to define a block of code in Python language?,A,Indentation,Key,Brackets,All of the mentioned
IT,DEVELOPER,PYTHON,9. Which keyword is used for function in Python language?,B,Function,def,Fun, Define
IT,DEVELOPER,PYTHON,"10. Which of the following character is used to give single-line comments in Python?",B,//,#,!,/*
IT,DEVELOPER,PYTHON,11. What will be the output of the following Python code?,B,1 2 2003,error,1 2, none of the mentioned
IT,DEVELOPER,PYTHON,12. Which of the following functions can help us to find the version of python that we are ,D,sys.version(1),sys.version(0),sys.version(),sys.version
IT,DEVELOPER,PYTHON,"13. Python supports the creation of anonymous functions at runtime, using a construct ",C, pi, anonymous,lambda,none of the mentioned
IT,DEVELOPER,PYTHON,14. What is the order of precedence in python?,D," Exponential, Parentheses, Multiplication, Division, Addition, Subtraction","Exponential, Parentheses, Division, Multiplication, Addition, Subtraction","Parentheses, Exponential, Multiplication, Division, Subtraction, Addition"," Parentheses, Exponential, Multiplication, Division, Addition, Subtraction"
IT,DEVELOPER,PYTHON,15.What will be the output of the following Python code snippet if x=1?,A,4,2,1,8
IT,DEVELOPER,PYTHON,16. What does pip stand for python?,C,Pip Installs Python, Pip Installs Packages,Preferred Installer Program,All of the mentioned
IT,DEVELOPER,PYTHON,"17. Which of the following is true for variable names in Python?",B,underscore and ampersand are the only two special characters allowed,unlimited length,all private members must have leading and trailing underscores,none of the mentioned
IT,DEVELOPER,PYTHON,18. What are the values of the following Python expressions?,A,"512, 64, 512","512, 512, 512","64, 512, 64","64, 64, 64"
IT,DEVELOPER,PYTHON,"19. Which of the following is the truncation division operator in Python?",B,|,//,/,%
IT,DEVELOPER,PYTHON,20. What will be the output of the following Python code?,C,"[1, 0, 2, ‘hello’, ”, []]",Error,"[1, 2, ‘hello’]"," [1, 0, 2, 0, ‘hello’, ”, []]"
IT,DEVELOPER,PYTHON,,,,,,
IT,DEVELOPER,C++,1. Who invented C++?,D,Dennis Ritchie,Ken Thompson,Brian Kernighan, Bjarne Stroustrup
IT,DEVELOPER,C++,2. What is C++?,C,C++ is an object oriented programming language,C++ is a procedural programming language,C++ supports both procedural and object oriented programming language,C++ is a functional programming language
IT,DEVELOPER,C++,3. Which of the following is the correct syntax of including a user defined header files in C++?,B,#include [userdefined], #include “userdefined”, #include <userdefined.h>,#include <userdefined>
IT,DEVELOPER,C++,"4. Which of the following is used for comments in C++?",D,/* comment */,// comment */,// comment,both // comment or /* comment */
IT,DEVELOPER,C++,5. Which of the following user-defined header file extension used in c++?,C, hg,cpp,h,hf
IT,DEVELOPER,C++,6. Which of the following is a correct identifier in C++?,A,VAR_1234,$var_name,7VARNAME,7var_name
IT,DEVELOPER,C++,7. Which of the following is not a type of Constructor in C++?,D,Default constructor,Parameterized constructor, Copy constructor,Friend constructor
IT,DEVELOPER,C++,8. Which of the following approach is used by C++?,C, Left-right,Right-left,Bottom-up,Top-down
IT,DEVELOPER,C++,9. What is virtual inheritance in C++?,D,C++ technique to enhance multiple inheritance,C++ technique to ensure that a private member of the base class can be accessed somehow,C++ technique to avoid multiple inheritances of classes,C++ technique to avoid multiple copies of the base class into children/derived class
IT,DEVELOPER,C++,10.What is the difference between delete and delete[] in C++?,D,delete is syntactically correct but delete[] is wrong and hence will give an error if used in any case,delete is used to delete normal objects whereas delete[] is used to pointer objects,delete is a keyword whereas delete[] is an identifier,delete is used to delete single object whereas delete[] is used to multiple(array/pointer of) objects
IT,DEVELOPER,C++,11. Which of the following is correct about this pointer in C++?,C,this pointer is passed as a hidden argument in all static variables of a class, this pointer is passed as a hidden argument in all the functions of a class, this pointer is passed as a hidden argument in all non-static functions of a class, this pointer is passed as a hidden argument in all static functions of a class
IT,DEVELOPER,C++,12. Which of the following type is provided by C++ but not C?,D,double,float, int,bool
IT,DEVELOPER,C++,"13. By default, all the files in C++ are opened in _________ mode.",C,Binary,VTC,Text,ISCII
IT,DEVELOPER,C++,14. Which of the following correctly declares an array in C++?,A,Based on the number of bits in the system,2 or 4,4,2
IT,DEVELOPER,C++,15. What is the use of the indentation in c++?,C,r distinguishes between comments and inner data,distinguishes between comments and outer data,distinguishes between comments and code,r distinguishes between comments and outer data
IT,DEVELOPER,C++,16. Which is more effective while calling the C++ functions?,D,call by object,call by pointer,call by value,call by reference
IT,DEVELOPER,C++,17. Which of the following is used to terminate the function declaration in C++?,A, ;,],), :
IT,DEVELOPER,C++,18. Which keyword is used to define the macros in c++?,B,#macro,#define,macro,define
IT,DEVELOPER,C++,19. The C++ code which causes abnormal termination/behaviour of a program should be written under _________ block.,C, catch,throw,try, finally
IT,DEVELOPER,C++,,,,,,
ACCOUNTS,ACCOUNTANT,ACCOUNTANCY,1.Accounting provides data or information on,D,Income and cost for the managers,Financial conditions of the institutions,Company’s tax liability for a particular year,All the above
ACCOUNTS,ACCOUNTANT,ACCOUNTANCY,"2.Long term assets without any physical existence but, possessing a value are called",A,Intangible assets,Fixed assets,Current assets,Investments
ACCOUNTS,ACCOUNTANT,ACCOUNTANCY,"3.The assets that can be easily converted into cash within a short period, i.e., 1 year or less are known as",A,Current assets,Fixed assets, Intangible assets,Investments
ACCOUNTS,ACCOUNTANT,ACCOUNTANCY,"4.Copyrights, Patents and Trademarks are examples of",C,Current assets,Fixed assets,Intangible assets,Investments
ACCOUNTS,ACCOUNTANT,ACCOUNTANCY,"5.The debts which are to be repaid within a short period (a year or less) are referred to as,",A,Current Liabilities,Fixed liabilities,Contingent liabilities, All the above
ACCOUNTS,ACCOUNTANT,ACCOUNTANCY,6.Gross profit is,B,Sales – cost of goods sold,Sales – cost of goods sold,Sales – Purchases,Net profit – expenses
ACCOUNTS,ACCOUNTANT,ACCOUNTANCY,7.Net profit is calculated in which of the following account?,A,Profit and loss account,Balance sheet,Trial balance,Trading account
ACCOUNTS,ACCOUNTANT,ACCOUNTANCY,"8.In order to find out the value of the closing stock during the end of the financial year we,",A,do this by stocktaking,deduct the cost of goods sold from sales,deduct opening stock from the cost of goods sold,look in the stock account
ACCOUNTS,ACCOUNTANT,ACCOUNTANCY,9.Which of these best explains fixed assets?,D,Are bought to be used in the business,Are expensive items bought for the business,Are items which will not wear out quickly, Are of long life and are not purchased specifically for resale
ACCOUNTS,ACCOUNTANT,ACCOUNTANCY,10.The charges of placing commodities into a saleable condition should be charged to,B,Trading account,P & L a/c,Balance Sheet,None of the above
ACCOUNTS,ACCOUNTANT,ACCOUNTANCY,11.Suppliers personal a/c are seen in the,C,Sales Ledger,Nominal ledger,Purchases Ledger,General Ledger
ACCOUNTS,ACCOUNTANT,ACCOUNTANCY,"12.If you want to ensure that your money will be secured if cheques sent are wasted in the post, you should",B,Always pay by cash," Cross your Cheques ‘Account Payee only, Not Negotiable.’",Always get the money in person,Not use the postal service in future
ACCOUNTS,ACCOUNTANT,ACCOUNTANCY,13.Discounts received are,A,Buyer of goods granted discount by seller,Buyer of goods granted discount by seller,Given by us when we sell goods on credit,None of these
ACCOUNTS,ACCOUNTANT,ACCOUNTANCY,14.Sales invoices are first entered in,C,The Cash Book,The Purchases Journal,The Sales Journal,The Sales Account
ACCOUNTS,ACCOUNTANT,ACCOUNTANCY,15.Entered in the Purchases Journal are,B,Discounts received,Purchases invoices, Payments to suppliers,Trade discounts
ACCOUNTS,ACCOUNTANT,ACCOUNTANCY,"16.At the balance sheet date, the balance on the Accumulated Provision for Depreciation Account is",A,Simply deducted from the asset in the Balance Sheet,Transferred to Profit and Loss Account,Transferred to the Asset Account,Transferred to Depreciation Account
ACCOUNTS,ACCOUNTANT,ACCOUNTANCY,17.If we take goods for own use we should,A,"Debit Drawings Account, Credit Purchases Account",Debit Drawings Account: Credit Stock Account,Debit Sales Account: Credit Stock Account,Debit Purchases Account: Credit Drawings Account
ACCOUNTS,ACCOUNTANT,ACCOUNTANCY,18.When a petty cash book is kept there will be,C,No entries made at all in the general ledger for items paid by petty cash,The same number of entries in the general ledger,Fewer entries made in the general ledger,More entries made in the general ledger
ACCOUNTS,ACCOUNTANT,ACCOUNTANCY,"19.If a trial balance totals do not agree, the difference must be entered in",D,The Profit and Loss Account,A Nominal Account,The Capital Account, A Suspense Account
ACCOUNTS,ACCOUNTANT,ACCOUNTANCY,20.If it is required to maintain fixed capitals then the partners’ shares of profits must be,D,Credited to capital accounts,Debited to capital accounts,Debited to partners’ current accounts,Credited to partners’ current accounts
SALES,MARKETING,PRODUCT AWARENESS,,,,,,
